Tipo de hogar;Gastos totales, medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2007;109,15
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2006;84,12
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2015;549,74
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2014;596,26
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2013;538,45
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2012;517,27
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2011;549,53
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2010;553,67
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2009;640,32
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2008;676,52
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2007;660,74
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2006;583,77
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2015;8.107,53
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2014;7.938,64
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2013;8.180,70
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2012;8.238,17
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2011;7.999,52
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2010;7.575,87
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2009;7.444,06
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2008;7.352,55
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2007;6.664,59
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2006;5.924,95
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;930,54
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;960,16
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2013;914,98
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2012;1.055,84
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2011;1.148,15
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2010;1.015,33
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2009;997,53
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2008;1.023,88
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2007;938,48
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2006;939,90
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2015;746,17
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2014;864,20
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2013;810,10
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2012;764,57
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2011;621,43
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2010;703,75
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2009;735,59
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2008;626,82
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2007;594,82
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 6. Salud;2006;444,55
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2015;530,54
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2014;586,88
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2013;466,14
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2012;584,66
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2011;540,47
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2010;432,25
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2009;443,65
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2008;393,94
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2007;361,99
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 7. Transportes;2006;316,29
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2015;417,67
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2014;407,24
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2013;429,07
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2012;435,07
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2011;416,31
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2010;399,52
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2009;387,37
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2008;379,40
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2007;345,79
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 8. Comunicaciones;2006;313,89
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2015;524,13
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2014;529,07
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2013;534,79
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2012;626,40
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2011;594,75
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2010;555,79
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2009;536,48
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2008;508,79
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2007;482,43
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 9. Ocio, espectáculos y cultura;2006;395,53
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2015;10,07
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2014;10,02
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2013;13,11
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2012;3,50
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2011;8,82
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2010;4,88
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2009;1,36
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2008;6,52
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2007;4,46
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 10. Enseñanza;2006;""
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2015;625,01
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2014;608,81
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2013;594,30
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2012;735,51
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2011;587,80
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2010;596,95
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2009;548,09
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2008;462,57
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2007;643,59
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 11. Hoteles, cafés y restaurantes;2006;407,07
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2015;1.413,91
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2014;1.466,02
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2013;1.359,17
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2012;1.485,04
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2011;1.256,09
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2010;1.161,63
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2009;1.151,49
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2008;1.126,87
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2007;1.025,64
Persona sola de 65 o más años;Gasto medio por hogar;Grupo 12. Otros bienes y servicios;2006;877,39
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2015;2.596,90
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2014;2.534,37
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2013;2.539,21
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2012;2.474,57
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2011;2.512,19
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2010;2.442,81
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2009;2.467,22
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2008;2.446,98
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2007;2.273,20
Persona sola de 65 o más años;Gasto medio por persona;Grupo 1. Alimentos y bebidas no alcohólicas ;2006;2.101,20
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2015;134,92
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2014;132,64
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2013;133,27
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2012;139,54
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2011;132,64
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2010;106,32
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2009;116,78
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2008;91,97
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2007;109,15
Persona sola de 65 o más años;Gasto medio por persona;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2006;84,12
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2015;549,74
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2014;596,26
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2013;538,45
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2012;517,27
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2011;549,53
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2010;553,67
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2009;640,32
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2008;676,52
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2007;660,74
Persona sola de 65 o más años;Gasto medio por persona;Grupo 3. Artículos de vestir y calzado;2006;583,77
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2015;8.107,53
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2014;7.938,64
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2013;8.180,70
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2012;8.238,17
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2011;7.999,52
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2010;7.575,87
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2009;7.444,06
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2008;7.352,55
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2007;6.664,59
Persona sola de 65 o más años;Gasto medio por persona;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2006;5.924,95
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;930,54
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;960,16
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2013;914,98
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2012;1.055,84
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2011;1.148,15
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2010;1.015,33
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2009;997,53
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2008;1.023,88
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2007;938,48
Persona sola de 65 o más años;Gasto medio por persona;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2006;939,90
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2015;746,17
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2014;864,20
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2013;810,10
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2012;764,57
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2011;621,43
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2010;703,75
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2009;735,59
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2008;626,82
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2007;594,82
Persona sola de 65 o más años;Gasto medio por persona;Grupo 6. Salud;2006;444,55
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2015;530,54
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2014;586,88
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2013;466,14
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2012;584,66
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2011;540,47
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2010;432,25
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2009;443,65
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2008;393,94
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2007;361,99
Persona sola de 65 o más años;Gasto medio por persona;Grupo 7. Transportes;2006;316,29
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2015;417,67
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2014;407,24
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2013;429,07
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2012;435,07
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2011;416,31
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2010;399,52
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2009;387,37
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2008;379,40
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2007;345,79
Persona sola de 65 o más años;Gasto medio por persona;Grupo 8. Comunicaciones;2006;313,89
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2015;524,13
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2014;529,07
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2013;534,79
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2012;626,40
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2011;594,75
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2010;555,79
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2009;536,48
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2008;508,79
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2007;482,43
Persona sola de 65 o más años;Gasto medio por persona;Grupo 9. Ocio, espectáculos y cultura;2006;395,53
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2015;10,07
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2014;10,02
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2013;13,11
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2012;3,50
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2011;8,82
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2010;4,88
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2009;1,36
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2008;6,52
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2007;4,46
Persona sola de 65 o más años;Gasto medio por persona;Grupo 10. Enseñanza;2006;""
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2015;625,01
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2014;608,81
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2013;594,30
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2012;735,51
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2011;587,80
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2010;596,95
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2009;548,09
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2008;462,57
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2007;643,59
Persona sola de 65 o más años;Gasto medio por persona;Grupo 11. Hoteles, cafés y restaurantes;2006;407,07
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2015;1.413,91
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2014;1.466,02
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2013;1.359,17
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2012;1.485,04
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2011;1.256,09
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2010;1.161,63
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2009;1.151,49
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2008;1.126,87
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2007;1.025,64
Persona sola de 65 o más años;Gasto medio por persona;Grupo 12. Otros bienes y servicios;2006;877,39
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2015;4.220,57
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2014;4.136,69
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2013;4.151,76
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2012;4.150,66
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2011;3.998,96
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2010;4.024,69
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2009;4.072,93
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2008;4.199,58
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2007;4.054,42
Pareja sin hijos;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2006;3.805,13
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2015;516,29
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2014;505,85
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2013;512,95
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2012;546,66
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2011;541,67
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2010;551,41
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2009;543,21
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2008;520,72
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2007;523,58
Pareja sin hijos;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2006;466,46
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2015;1.282,08
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2014;1.307,47
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2013;1.245,77
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2012;1.263,34
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2011;1.355,32
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2010;1.430,57
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2009;1.522,85
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2008;1.700,61
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2007;1.785,55
Pareja sin hijos;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2006;1.727,36
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2015;9.411,32
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2014;9.434,60
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2013;9.537,99
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2012;9.524,84
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2011;9.516,74
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2010;9.092,75
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2009;9.112,83
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2008;8.865,54
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2007;8.333,87
Pareja sin hijos;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2006;7.476,01
