Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
02 Aragón;Total;Gasto medio por persona;2014;11.030,49
02 Aragón;Total;Gasto medio por persona;2013;11.352,94
02 Aragón;Total;Gasto medio por persona;2012;11.374,49
02 Aragón;Total;Gasto medio por persona;2011;11.308,84
02 Aragón;Total;Gasto medio por persona;2010;10.985,78
02 Aragón;Total;Gasto medio por persona;2009;11.274,56
02 Aragón;Total;Gasto medio por persona;2008;11.917,31
02 Aragón;Total;Gasto medio por persona;2007;11.584,68
02 Aragón;Total;Gasto medio por persona;2006;10.996,73
02 Aragón;Total;Gasto medio por unidad de consumo;2019;18.735,00
02 Aragón;Total;Gasto medio por unidad de consumo;2018;17.559,20
02 Aragón;Total;Gasto medio por unidad de consumo;2017;17.103,01
02 Aragón;Total;Gasto medio por unidad de consumo;2016;16.997,73
02 Aragón;Total;Gasto medio por unidad de consumo;2015;16.464,76
02 Aragón;Total;Gasto medio por unidad de consumo;2014;16.185,53
02 Aragón;Total;Gasto medio por unidad de consumo;2013;16.706,13
02 Aragón;Total;Gasto medio por unidad de consumo;2012;16.796,74
02 Aragón;Total;Gasto medio por unidad de consumo;2011;16.736,02
02 Aragón;Total;Gasto medio por unidad de consumo;2010;16.292,89
02 Aragón;Total;Gasto medio por unidad de consumo;2009;16.757,24
02 Aragón;Total;Gasto medio por unidad de consumo;2008;17.757,53
02 Aragón;Total;Gasto medio por unidad de consumo;2007;17.265,74
02 Aragón;Total;Gasto medio por unidad de consumo;2006;16.405,49
02 Aragón;Total;Índice sobre la media del gmp;2019;100,00
02 Aragón;Total;Índice sobre la media del gmp;2018;100,00
02 Aragón;Total;Índice sobre la media del gmp;2017;100,00
02 Aragón;Total;Índice sobre la media del gmp;2016;100,00
02 Aragón;Total;Índice sobre la media del gmp;2015;100,00
02 Aragón;Total;Índice sobre la media del gmp;2014;100,00
02 Aragón;Total;Índice sobre la media del gmp;2013;100,00
02 Aragón;Total;Índice sobre la media del gmp;2012;100,00
02 Aragón;Total;Índice sobre la media del gmp;2011;100,00
02 Aragón;Total;Índice sobre la media del gmp;2010;100,00
02 Aragón;Total;Índice sobre la media del gmp;2009;100,00
02 Aragón;Total;Índice sobre la media del gmp;2008;100,00
02 Aragón;Total;Índice sobre la media del gmp;2007;100,00
02 Aragón;Total;Índice sobre la media del gmp;2006;100,00
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2019;3.657.825,47
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2018;3.071.675,83
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2017;2.896.030,77
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2016;2.681.094,15
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2015;2.650.773,89
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2014;2.709.605,04
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2013;2.742.116,18
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2012;2.567.838,73
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2011;2.501.682,29
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2010;2.270.957,34
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2009;2.169.141,66
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2008;2.070.707,56
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2007;1.839.424,90
02 Aragón;Persona o pareja de 65 o más años;Gasto total;2006;1.702.968,63
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2019;21,99
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2018;19,80
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2017;19,20
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2016;17,88
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2015;18,17
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2014;18,82
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2013;18,43
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2012;17,13
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2011;16,74
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2010;15,63
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2009;14,54
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2008;13,20
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2007;12,29
02 Aragón;Persona o pareja de 65 o más años;Distribución porcentual;2006;12,23
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;26.341,44
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;23.187,02
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;21.529,44
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;21.449,01
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2015;21.765,67
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2014;21.048,49
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2013;21.509,00
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2012;21.652,36
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2011;20.940,14
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2010;19.200,06
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2009;18.799,35
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2008;18.061,63
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2007;16.747,78
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2006;14.919,00
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2019;17.273,24
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2018;15.302,31
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2017;14.418,91
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2016;14.054,25
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2015;13.774,31
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2014;14.158,59
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2013;14.703,75
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2012;14.513,17
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2011;14.055,00
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2010;12.997,84
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2009;12.781,39
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2008;12.226,20
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2007;11.449,54
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por persona;2006;10.458,58
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2019;20.864,63
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2018;18.437,06
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2017;17.270,95
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2016;16.981,52
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2015;16.871,54
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2014;16.929,38
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2013;17.466,94
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2012;17.378,12
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2011;16.820,26
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2010;15.501,59
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2009;15.216,99
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2008;14.581,77
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2007;13.600,89
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2006;12.296,80
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2019;135,21
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2018;127,57
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2017;123,65
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2016;121,37
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2015;122,79
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2014;128,36
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2013;129,51
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2012;127,59
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2011;124,28
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2010;118,32
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2009;113,36
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2008;102,59
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2007;98,83
02 Aragón;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2006;95,11
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2019;3.677.703,45
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2018;3.788.183,01
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2017;3.358.011,26
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2016;3.493.912,63
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2015;3.332.904,10
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2014;3.209.873,28
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2013;3.349.230,42
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2012;3.388.697,37
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2011;3.288.740,74
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2010;3.254.165,14
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2009;3.253.298,44
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2008;3.528.675,20
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2007;3.404.960,39
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto total;2006;3.139.775,92
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2019;22,11
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2018;24,42
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2017;22,27
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2016;23,30
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2015;22,85
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2014;22,30
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2013;22,51
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2012;22,61
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2011;22,00
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2010;22,40
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2009;21,80
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2008;22,50
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2007;22,76
02 Aragón;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2006;22,55
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;25.250,42
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;24.375,19
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;23.846,91
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;23.422,97
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2015;22.108,10
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2014;21.012,98
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2013;22.603,12
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2012;23.251,07
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2011;23.232,93
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2010;23.238,63
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2009;24.702,05
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2008;27.282,75
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2007;25.964,90
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2006;27.112,97
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2019;17.781,13
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2018;16.918,94
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2017;16.530,90
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2016;16.572,48
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2015;16.139,21
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2014;14.142,52
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2013;15.004,93
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2012;15.824,80
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2011;15.629,87
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2010;15.418,55
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2009;16.569,14
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2008;18.242,99
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2007;17.031,60
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2006;17.474,89
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2019;20.867,53
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2018;19.973,90
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2017;19.526,11
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2016;19.411,04
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2015;18.657,90
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2014;16.906,40
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2013;18.036,47
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2012;18.832,26
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2011;18.687,68
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2010;18.537,62
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2009;19.834,26
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2008;21.865,39
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2007;20.570,22
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2006;21.252,25
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2019;139,18
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2018;141,04
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2017;141,76
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2016;143,12
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2015;143,88
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2014;128,21
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2013;132,17
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2012;139,13
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2011;138,21
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2010;140,35
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2009;146,96
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2008;153,08
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2007;147,02
02 Aragón;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2006;158,91
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2019;3.231.845,99
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2018;2.953.156,67
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2017;2.742.297,78
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2016;2.966.314,59
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2015;2.895.045,21
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2014;2.976.689,87
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2013;3.173.050,14
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2012;2.948.339,20
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2011;2.970.861,13
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2010;2.736.170,32
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2009;2.886.602,79
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2008;2.810.610,78
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2007;2.834.287,62
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2006;2.481.570,31
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2019;19,43
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2018;19,03
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2017;18,18
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2016;19,78
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2015;19,85
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2014;20,68
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2013;21,32
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2012;19,67
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2011;19,88
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2010;18,84
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2009;19,35
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2008;17,92
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2007;18,94
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2006;17,83
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;36.250,63
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;33.466,39
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;31.831,00
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;30.852,44
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2015;30.365,91
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2014;32.021,49
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2013;33.068,77
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2012;32.285,74
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2011;30.898,76
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2010;30.139,48
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2009;33.493,44
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2008;34.216,50
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2007;35.819,30
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2006;34.001,22
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2019;9.981,94
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2018;9.196,01
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2017;8.724,51
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2016;8.660,88
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2015;8.734,49
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2014;8.994,31
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2013;9.298,84
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2012;9.307,50
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2011;8.906,66
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2010;8.712,62
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2009;9.704,35
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2008;9.562,94
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2007;10.132,05
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2006;9.901,65
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2019;18.139,79
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2018;16.691,16
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2017;15.897,82
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2016;15.639,04
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2015;15.592,27
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2014;16.057,22
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2013;16.643,04
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2012;16.567,20
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2011;15.804,92
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2010;15.508,06
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2009;17.235,49
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2008;17.216,23
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2007;18.112,95
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2006;17.448,85
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2019;78,13
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2018;76,66
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2017;74,82
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2016;74,79
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2015;77,87
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2014;81,54
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2013;81,91
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2012;81,83
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2011;78,76
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2010;79,31
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2009;86,07
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2008;80,24
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2007;87,46
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2006;90,04
02 Aragón;Otros hogares;Gasto total;2019;6.068.762,21
02 Aragón;Otros hogares;Gasto total;2018;5.701.728,67
02 Aragón;Otros hogares;Gasto total;2017;6.084.508,79
02 Aragón;Otros hogares;Gasto total;2016;5.854.112,32
02 Aragón;Otros hogares;Gasto total;2015;5.709.515,64
02 Aragón;Otros hogares;Gasto total;2014;5.498.139,59
02 Aragón;Otros hogares;Gasto total;2013;5.615.551,29
02 Aragón;Otros hogares;Gasto total;2012;6.083.103,69
02 Aragón;Otros hogares;Gasto total;2011;6.186.374,58
02 Aragón;Otros hogares;Gasto total;2010;6.265.322,59
02 Aragón;Otros hogares;Gasto total;2009;6.611.686,33
