Comunidad autónoma de residencia;Tamaño del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
05 Canarias;Total;Gasto medio por unidad de consumo;2018;13.990,95
05 Canarias;Total;Gasto medio por unidad de consumo;2017;13.880,98
05 Canarias;Total;Gasto medio por unidad de consumo;2016;13.693,91
05 Canarias;Total;Gasto medio por unidad de consumo;2015;13.514,87
05 Canarias;Total;Gasto medio por unidad de consumo;2014;13.379,14
05 Canarias;Total;Gasto medio por unidad de consumo;2013;12.729,56
05 Canarias;Total;Gasto medio por unidad de consumo;2012;13.146,19
05 Canarias;Total;Gasto medio por unidad de consumo;2011;13.771,64
05 Canarias;Total;Gasto medio por unidad de consumo;2010;13.857,48
05 Canarias;Total;Gasto medio por unidad de consumo;2009;14.603,81
05 Canarias;Total;Gasto medio por unidad de consumo;2008;15.452,57
05 Canarias;Total;Gasto medio por unidad de consumo;2007;16.235,80
05 Canarias;Total;Gasto medio por unidad de consumo;2006;15.277,49
05 Canarias;Total;Índice sobre la media del gmp;2019;100,00
05 Canarias;Total;Índice sobre la media del gmp;2018;100,00
05 Canarias;Total;Índice sobre la media del gmp;2017;100,00
05 Canarias;Total;Índice sobre la media del gmp;2016;100,00
05 Canarias;Total;Índice sobre la media del gmp;2015;100,00
05 Canarias;Total;Índice sobre la media del gmp;2014;100,00
05 Canarias;Total;Índice sobre la media del gmp;2013;100,00
05 Canarias;Total;Índice sobre la media del gmp;2012;100,00
05 Canarias;Total;Índice sobre la media del gmp;2011;100,00
05 Canarias;Total;Índice sobre la media del gmp;2010;100,00
05 Canarias;Total;Índice sobre la media del gmp;2009;100,00
05 Canarias;Total;Índice sobre la media del gmp;2008;100,00
05 Canarias;Total;Índice sobre la media del gmp;2007;100,00
05 Canarias;Total;Índice sobre la media del gmp;2006;100,00
05 Canarias;1 miembro;Gasto total;2019;3.213.449,34
05 Canarias;1 miembro;Gasto total;2018;3.116.639,85
05 Canarias;1 miembro;Gasto total;2017;3.370.609,04
05 Canarias;1 miembro;Gasto total;2016;3.026.544,38
05 Canarias;1 miembro;Gasto total;2015;2.821.269,18
05 Canarias;1 miembro;Gasto total;2014;2.710.433,68
05 Canarias;1 miembro;Gasto total;2013;2.639.711,62
05 Canarias;1 miembro;Gasto total;2012;2.737.181,67
05 Canarias;1 miembro;Gasto total;2011;2.642.660,39
05 Canarias;1 miembro;Gasto total;2010;2.628.093,73
05 Canarias;1 miembro;Gasto total;2009;2.891.937,81
05 Canarias;1 miembro;Gasto total;2008;2.763.535,28
05 Canarias;1 miembro;Gasto total;2007;3.140.357,67
05 Canarias;1 miembro;Gasto total;2006;2.410.361,51
05 Canarias;1 miembro;Distribución porcentual;2019;14,77
05 Canarias;1 miembro;Distribución porcentual;2018;15,25
05 Canarias;1 miembro;Distribución porcentual;2017;16,96
05 Canarias;1 miembro;Distribución porcentual;2016;15,61
05 Canarias;1 miembro;Distribución porcentual;2015;14,76
05 Canarias;1 miembro;Distribución porcentual;2014;14,41
05 Canarias;1 miembro;Distribución porcentual;2013;14,83
05 Canarias;1 miembro;Distribución porcentual;2012;15,07
05 Canarias;1 miembro;Distribución porcentual;2011;14,03
05 Canarias;1 miembro;Distribución porcentual;2010;14,07
05 Canarias;1 miembro;Distribución porcentual;2009;14,87
05 Canarias;1 miembro;Distribución porcentual;2008;13,65
05 Canarias;1 miembro;Distribución porcentual;2007;15,14
05 Canarias;1 miembro;Distribución porcentual;2006;12,71
05 Canarias;1 miembro;Gasto medio por hogar;2019;15.483,98
05 Canarias;1 miembro;Gasto medio por hogar;2018;15.159,65
05 Canarias;1 miembro;Gasto medio por hogar;2017;17.000,74
05 Canarias;1 miembro;Gasto medio por hogar;2016;15.544,60
05 Canarias;1 miembro;Gasto medio por hogar;2015;14.702,44
05 Canarias;1 miembro;Gasto medio por hogar;2014;14.267,76
05 Canarias;1 miembro;Gasto medio por hogar;2013;14.123,49
05 Canarias;1 miembro;Gasto medio por hogar;2012;15.039,81
05 Canarias;1 miembro;Gasto medio por hogar;2011;14.891,60
05 Canarias;1 miembro;Gasto medio por hogar;2010;15.131,86
05 Canarias;1 miembro;Gasto medio por hogar;2009;17.004,40
05 Canarias;1 miembro;Gasto medio por hogar;2008;16.654,05
05 Canarias;1 miembro;Gasto medio por hogar;2007;19.616,97
05 Canarias;1 miembro;Gasto medio por hogar;2006;15.703,14
05 Canarias;1 miembro;Gasto medio por persona;2019;15.483,98
05 Canarias;1 miembro;Gasto medio por persona;2018;15.159,65
05 Canarias;1 miembro;Gasto medio por persona;2017;17.000,74
05 Canarias;1 miembro;Gasto medio por persona;2016;15.544,60
05 Canarias;1 miembro;Gasto medio por persona;2015;14.702,44
05 Canarias;1 miembro;Gasto medio por persona;2014;14.267,76
05 Canarias;1 miembro;Gasto medio por persona;2013;14.123,49
05 Canarias;1 miembro;Gasto medio por persona;2012;15.039,81
05 Canarias;1 miembro;Gasto medio por persona;2011;14.891,60
05 Canarias;1 miembro;Gasto medio por persona;2010;15.131,86
05 Canarias;1 miembro;Gasto medio por persona;2009;17.004,40
05 Canarias;1 miembro;Gasto medio por persona;2008;16.654,05
05 Canarias;1 miembro;Gasto medio por persona;2007;19.616,97
05 Canarias;1 miembro;Gasto medio por persona;2006;15.703,14
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2019;15.483,98
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2018;15.159,65
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2017;17.000,74
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2016;15.544,60
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2015;14.702,44
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2014;14.267,76
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2013;14.123,49
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2012;15.039,81
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2011;14.891,60
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2010;15.131,86
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2009;17.004,40
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2008;16.654,05
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2007;19.616,97
05 Canarias;1 miembro;Gasto medio por unidad de consumo;2006;15.703,14
05 Canarias;1 miembro;Índice sobre la media del gmp;2019;157,17
05 Canarias;1 miembro;Índice sobre la media del gmp;2018;161,19
05 Canarias;1 miembro;Índice sobre la media del gmp;2017;182,72
05 Canarias;1 miembro;Índice sobre la media del gmp;2016;169,72
05 Canarias;1 miembro;Índice sobre la media del gmp;2015;162,82
05 Canarias;1 miembro;Índice sobre la media del gmp;2014;159,84
05 Canarias;1 miembro;Índice sobre la media del gmp;2013;166,44
05 Canarias;1 miembro;Índice sobre la media del gmp;2012;172,36
05 Canarias;1 miembro;Índice sobre la media del gmp;2011;163,11
05 Canarias;1 miembro;Índice sobre la media del gmp;2010;165,46
05 Canarias;1 miembro;Índice sobre la media del gmp;2009;176,92
05 Canarias;1 miembro;Índice sobre la media del gmp;2008;164,44
05 Canarias;1 miembro;Índice sobre la media del gmp;2007;185,23
05 Canarias;1 miembro;Índice sobre la media del gmp;2006;158,31
05 Canarias;2 miembros;Gasto total;2019;5.958.855,27
05 Canarias;2 miembros;Gasto total;2018;5.423.659,97
05 Canarias;2 miembros;Gasto total;2017;5.258.765,40
05 Canarias;2 miembros;Gasto total;2016;5.404.250,05
05 Canarias;2 miembros;Gasto total;2015;5.329.802,56
05 Canarias;2 miembros;Gasto total;2014;5.026.029,91
05 Canarias;2 miembros;Gasto total;2013;5.051.065,05
05 Canarias;2 miembros;Gasto total;2012;4.996.134,13
05 Canarias;2 miembros;Gasto total;2011;4.689.702,46
05 Canarias;2 miembros;Gasto total;2010;5.214.356,92
05 Canarias;2 miembros;Gasto total;2009;4.973.008,61
05 Canarias;2 miembros;Gasto total;2008;4.845.851,15
05 Canarias;2 miembros;Gasto total;2007;4.262.819,15
05 Canarias;2 miembros;Gasto total;2006;4.008.878,99
05 Canarias;2 miembros;Distribución porcentual;2019;27,39
05 Canarias;2 miembros;Distribución porcentual;2018;26,55
05 Canarias;2 miembros;Distribución porcentual;2017;26,46
05 Canarias;2 miembros;Distribución porcentual;2016;27,88
05 Canarias;2 miembros;Distribución porcentual;2015;27,88
05 Canarias;2 miembros;Distribución porcentual;2014;26,72
05 Canarias;2 miembros;Distribución porcentual;2013;28,37
05 Canarias;2 miembros;Distribución porcentual;2012;27,50
05 Canarias;2 miembros;Distribución porcentual;2011;24,90
05 Canarias;2 miembros;Distribución porcentual;2010;27,92
05 Canarias;2 miembros;Distribución porcentual;2009;25,57
05 Canarias;2 miembros;Distribución porcentual;2008;23,94
05 Canarias;2 miembros;Distribución porcentual;2007;20,55
05 Canarias;2 miembros;Distribución porcentual;2006;21,14
05 Canarias;2 miembros;Gasto medio por hogar;2019;23.438,14
05 Canarias;2 miembros;Gasto medio por hogar;2018;22.181,23
05 Canarias;2 miembros;Gasto medio por hogar;2017;21.908,58
05 Canarias;2 miembros;Gasto medio por hogar;2016;22.896,87
05 Canarias;2 miembros;Gasto medio por hogar;2015;22.767,13
05 Canarias;2 miembros;Gasto medio por hogar;2014;21.520,87
05 Canarias;2 miembros;Gasto medio por hogar;2013;21.941,14
05 Canarias;2 miembros;Gasto medio por hogar;2012;22.205,24
05 Canarias;2 miembros;Gasto medio por hogar;2011;21.461,70
05 Canarias;2 miembros;Gasto medio por hogar;2010;24.961,71
05 Canarias;2 miembros;Gasto medio por hogar;2009;24.918,77
05 Canarias;2 miembros;Gasto medio por hogar;2008;25.543,13
05 Canarias;2 miembros;Gasto medio por hogar;2007;23.907,66
05 Canarias;2 miembros;Gasto medio por hogar;2006;24.056,55
05 Canarias;2 miembros;Gasto medio por persona;2019;11.719,07
05 Canarias;2 miembros;Gasto medio por persona;2018;11.090,61
05 Canarias;2 miembros;Gasto medio por persona;2017;10.954,29
05 Canarias;2 miembros;Gasto medio por persona;2016;11.448,43
05 Canarias;2 miembros;Gasto medio por persona;2015;11.383,57
05 Canarias;2 miembros;Gasto medio por persona;2014;10.760,43
05 Canarias;2 miembros;Gasto medio por persona;2013;10.970,57
05 Canarias;2 miembros;Gasto medio por persona;2012;11.102,62
05 Canarias;2 miembros;Gasto medio por persona;2011;10.730,85
05 Canarias;2 miembros;Gasto medio por persona;2010;12.480,85
05 Canarias;2 miembros;Gasto medio por persona;2009;12.459,39
05 Canarias;2 miembros;Gasto medio por persona;2008;12.771,57
05 Canarias;2 miembros;Gasto medio por persona;2007;11.953,83
05 Canarias;2 miembros;Gasto medio por persona;2006;12.028,27
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2019;15.655,07
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2018;14.864,26
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2017;14.659,71
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2016;15.336,09
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2015;15.227,61
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2014;14.408,10
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2013;14.688,94
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2012;14.864,68
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2011;14.364,11
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2010;16.717,12
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2009;16.683,14
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2008;17.084,14
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2007;16.018,48
05 Canarias;2 miembros;Gasto medio por unidad de consumo;2006;16.127,56
05 Canarias;2 miembros;Índice sobre la media del gmp;2019;118,96
05 Canarias;2 miembros;Índice sobre la media del gmp;2018;117,92
05 Canarias;2 miembros;Índice sobre la media del gmp;2017;117,73
05 Canarias;2 miembros;Índice sobre la media del gmp;2016;125,00
05 Canarias;2 miembros;Índice sobre la media del gmp;2015;126,06
05 Canarias;2 miembros;Índice sobre la media del gmp;2014;120,55
05 Canarias;2 miembros;Índice sobre la media del gmp;2013;129,29
05 Canarias;2 miembros;Índice sobre la media del gmp;2012;127,24
05 Canarias;2 miembros;Índice sobre la media del gmp;2011;117,54
05 Canarias;2 miembros;Índice sobre la media del gmp;2010;136,47
05 Canarias;2 miembros;Índice sobre la media del gmp;2009;129,63
05 Canarias;2 miembros;Índice sobre la media del gmp;2008;126,10
05 Canarias;2 miembros;Índice sobre la media del gmp;2007;112,87
05 Canarias;2 miembros;Índice sobre la media del gmp;2006;121,26
05 Canarias;3 miembros;Gasto total;2019;5.829.731,89
05 Canarias;3 miembros;Gasto total;2018;5.520.841,10
05 Canarias;3 miembros;Gasto total;2017;5.089.927,53
05 Canarias;3 miembros;Gasto total;2016;4.959.554,89
05 Canarias;3 miembros;Gasto total;2015;4.695.234,38
05 Canarias;3 miembros;Gasto total;2014;5.029.920,47
05 Canarias;3 miembros;Gasto total;2013;4.576.261,34
05 Canarias;3 miembros;Gasto total;2012;4.455.392,52
05 Canarias;3 miembros;Gasto total;2011;4.730.535,35
05 Canarias;3 miembros;Gasto total;2010;4.445.262,90
05 Canarias;3 miembros;Gasto total;2009;4.663.812,88
05 Canarias;3 miembros;Gasto total;2008;4.865.235,47
05 Canarias;3 miembros;Gasto total;2007;4.870.102,69
05 Canarias;3 miembros;Gasto total;2006;4.312.471,07
05 Canarias;3 miembros;Distribución porcentual;2019;26,80
05 Canarias;3 miembros;Distribución porcentual;2018;27,02
05 Canarias;3 miembros;Distribución porcentual;2017;25,61
05 Canarias;3 miembros;Distribución porcentual;2016;25,58
05 Canarias;3 miembros;Distribución porcentual;2015;24,56
05 Canarias;3 miembros;Distribución porcentual;2014;26,74
05 Canarias;3 miembros;Distribución porcentual;2013;25,70
05 Canarias;3 miembros;Distribución porcentual;2012;24,52
05 Canarias;3 miembros;Distribución porcentual;2011;25,12
05 Canarias;3 miembros;Distribución porcentual;2010;23,80
05 Canarias;3 miembros;Distribución porcentual;2009;23,98
05 Canarias;3 miembros;Distribución porcentual;2008;24,03
05 Canarias;3 miembros;Distribución porcentual;2007;23,48
05 Canarias;3 miembros;Distribución porcentual;2006;22,74
05 Canarias;3 miembros;Gasto medio por hogar;2019;30.033,14
05 Canarias;3 miembros;Gasto medio por hogar;2018;28.472,71
05 Canarias;3 miembros;Gasto medio por hogar;2017;26.609,37
05 Canarias;3 miembros;Gasto medio por hogar;2016;26.352,79
05 Canarias;3 miembros;Gasto medio por hogar;2015;25.115,39
05 Canarias;3 miembros;Gasto medio por hogar;2014;27.188,43
05 Canarias;3 miembros;Gasto medio por hogar;2013;24.850,09
05 Canarias;3 miembros;Gasto medio por hogar;2012;24.317,34
05 Canarias;3 miembros;Gasto medio por hogar;2011;26.265,18
05 Canarias;3 miembros;Gasto medio por hogar;2010;25.617,53
05 Canarias;3 miembros;Gasto medio por hogar;2009;27.902,55
05 Canarias;3 miembros;Gasto medio por hogar;2008;30.329,86
05 Canarias;3 miembros;Gasto medio por hogar;2007;31.923,95
05 Canarias;3 miembros;Gasto medio por hogar;2006;29.846,16
05 Canarias;3 miembros;Gasto medio por persona;2019;10.011,05
05 Canarias;3 miembros;Gasto medio por persona;2018;9.490,90
05 Canarias;3 miembros;Gasto medio por persona;2017;8.869,79
05 Canarias;3 miembros;Gasto medio por persona;2016;8.784,26
05 Canarias;3 miembros;Gasto medio por persona;2015;8.371,80
05 Canarias;3 miembros;Gasto medio por persona;2014;9.062,81
05 Canarias;3 miembros;Gasto medio por persona;2013;8.283,36
05 Canarias;3 miembros;Gasto medio por persona;2012;8.105,78
05 Canarias;3 miembros;Gasto medio por persona;2011;8.755,06
05 Canarias;3 miembros;Gasto medio por persona;2010;8.539,18
05 Canarias;3 miembros;Gasto medio por persona;2009;9.300,85
05 Canarias;3 miembros;Gasto medio por persona;2008;10.109,95
05 Canarias;3 miembros;Gasto medio por persona;2007;10.641,32
05 Canarias;3 miembros;Gasto medio por persona;2006;9.948,72
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2019;15.529,42
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2018;14.787,56
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2017;13.844,75
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2016;13.697,78
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2015;13.081,47
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2014;14.121,34
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2013;12.891,07
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2012;12.704,63
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2011;13.765,76
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2010;13.409,82
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2009;14.493,90
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2008;15.813,91
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2007;16.677,81
05 Canarias;3 miembros;Gasto medio por unidad de consumo;2006;15.617,24
05 Canarias;3 miembros;Índice sobre la media del gmp;2019;101,62
05 Canarias;3 miembros;Índice sobre la media del gmp;2018;100,91
05 Canarias;3 miembros;Índice sobre la media del gmp;2017;95,33
05 Canarias;3 miembros;Índice sobre la media del gmp;2016;95,91
05 Canarias;3 miembros;Índice sobre la media del gmp;2015;92,71
05 Canarias;3 miembros;Índice sobre la media del gmp;2014;101,53
05 Canarias;3 miembros;Índice sobre la media del gmp;2013;97,62
05 Canarias;3 miembros;Índice sobre la media del gmp;2012;92,89
05 Canarias;3 miembros;Índice sobre la media del gmp;2011;95,90
05 Canarias;3 miembros;Índice sobre la media del gmp;2010;93,37
05 Canarias;3 miembros;Índice sobre la media del gmp;2009;96,77
05 Canarias;3 miembros;Índice sobre la media del gmp;2008;99,82
05 Canarias;3 miembros;Índice sobre la media del gmp;2007;100,48
05 Canarias;3 miembros;Índice sobre la media del gmp;2006;100,30
05 Canarias;4 y más;Gasto total;2019;6.753.577,55
05 Canarias;4 y más;Gasto total;2018;6.370.108,08
05 Canarias;4 y más;Gasto total;2017;6.155.860,56
05 Canarias;4 y más;Gasto total;2016;5.996.664,64
05 Canarias;4 y más;Gasto total;2015;6.273.519,68
05 Canarias;4 y más;Gasto total;2014;6.043.237,71
05 Canarias;4 y más;Gasto total;2013;5.537.887,45
05 Canarias;4 y más;Gasto total;2012;5.979.252,08
05 Canarias;4 y más;Gasto total;2011;6.770.013,54
05 Canarias;4 y más;Gasto total;2010;6.390.532,81
05 Canarias;4 y más;Gasto total;2009;6.920.172,81
05 Canarias;4 y más;Gasto total;2008;7.771.088,65
05 Canarias;4 y más;Gasto total;2007;8.465.448,21
05 Canarias;4 y más;Gasto total;2006;8.235.907,43
05 Canarias;4 y más;Distribución porcentual;2019;31,04
05 Canarias;4 y más;Distribución porcentual;2018;31,18
05 Canarias;4 y más;Distribución porcentual;2017;30,97
05 Canarias;4 y más;Distribución porcentual;2016;30,93
05 Canarias;4 y más;Distribución porcentual;2015;32,81
05 Canarias;4 y más;Distribución porcentual;2014;32,13
05 Canarias;4 y más;Distribución porcentual;2013;31,10
05 Canarias;4 y más;Distribución porcentual;2012;32,91
05 Canarias;4 y más;Distribución porcentual;2011;35,95
05 Canarias;4 y más;Distribución porcentual;2010;34,21
05 Canarias;4 y más;Distribución porcentual;2009;35,58
05 Canarias;4 y más;Distribución porcentual;2008;38,38
05 Canarias;4 y más;Distribución porcentual;2007;40,82
05 Canarias;4 y más;Distribución porcentual;2006;43,42
05 Canarias;4 y más;Gasto medio por hogar;2019;33.601,87
05 Canarias;4 y más;Gasto medio por hogar;2018;31.396,07
05 Canarias;4 y más;Gasto medio por hogar;2017;30.569,10
05 Canarias;4 y más;Gasto medio por hogar;2016;29.800,72
05 Canarias;4 y más;Gasto medio por hogar;2015;30.867,81
05 Canarias;4 y más;Gasto medio por hogar;2014;29.771,76
05 Canarias;4 y más;Gasto medio por hogar;2013;27.206,29
05 Canarias;4 y más;Gasto medio por hogar;2012;29.346,71
05 Canarias;4 y más;Gasto medio por hogar;2011;33.042,59
05 Canarias;4 y más;Gasto medio por hogar;2010;30.719,62
05 Canarias;4 y más;Gasto medio por hogar;2009;32.767,64
05 Canarias;4 y más;Gasto medio por hogar;2008;36.376,52
05 Canarias;4 y más;Gasto medio por hogar;2007;39.504,59
05 Canarias;4 y más;Gasto medio por hogar;2006;38.448,72
05 Canarias;4 y más;Gasto medio por persona;2019;7.421,37
05 Canarias;4 y más;Gasto medio por persona;2018;7.108,78
05 Canarias;4 y más;Gasto medio por persona;2017;6.963,97
05 Canarias;4 y más;Gasto medio por persona;2016;6.772,96
05 Canarias;4 y más;Gasto medio por persona;2015;6.998,19
05 Canarias;4 y más;Gasto medio por persona;2014;6.750,94
05 Canarias;4 y más;Gasto medio por persona;2013;6.163,51
05 Canarias;4 y más;Gasto medio por persona;2012;6.640,74
05 Canarias;4 y más;Gasto medio por persona;2011;7.455,58
05 Canarias;4 y más;Gasto medio por persona;2010;6.869,15
05 Canarias;4 y más;Gasto medio por persona;2009;7.262,05
05 Canarias;4 y más;Gasto medio por persona;2008;7.991,36
05 Canarias;4 y más;Gasto medio por persona;2007;8.603,96
05 Canarias;4 y más;Gasto medio por persona;2006;8.302,87
05 Canarias;4 y más;Gasto medio por unidad de consumo;2019;13.007,58
05 Canarias;4 y más;Gasto medio por unidad de consumo;2018;12.333,02
05 Canarias;4 y más;Gasto medio por unidad de consumo;2017;12.136,99
05 Canarias;4 y más;Gasto medio por unidad de consumo;2016;11.837,52
05 Canarias;4 y más;Gasto medio por unidad de consumo;2015;12.207,62
05 Canarias;4 y más;Gasto medio por unidad de consumo;2014;11.828,71
05 Canarias;4 y más;Gasto medio por unidad de consumo;2013;10.796,33
05 Canarias;4 y más;Gasto medio por unidad de consumo;2012;11.650,92
05 Canarias;4 y más;Gasto medio por unidad de consumo;2011;13.021,20
05 Canarias;4 y más;Gasto medio por unidad de consumo;2010;12.039,62
05 Canarias;4 y más;Gasto medio por unidad de consumo;2009;12.771,68
05 Canarias;4 y más;Gasto medio por unidad de consumo;2008;14.054,01
05 Canarias;4 y más;Gasto medio por unidad de consumo;2007;15.140,33
05 Canarias;4 y más;Gasto medio por unidad de consumo;2006;14.619,89
05 Canarias;4 y más;Índice sobre la media del gmp;2019;75,33
05 Canarias;4 y más;Índice sobre la media del gmp;2018;75,59
05 Canarias;4 y más;Índice sobre la media del gmp;2017;74,85
05 Canarias;4 y más;Índice sobre la media del gmp;2016;73,95
05 Canarias;4 y más;Índice sobre la media del gmp;2015;77,50
05 Canarias;4 y más;Índice sobre la media del gmp;2014;75,63
05 Canarias;4 y más;Índice sobre la media del gmp;2013;72,64
05 Canarias;4 y más;Índice sobre la media del gmp;2012;76,10
05 Canarias;4 y más;Índice sobre la media del gmp;2011;81,66
05 Canarias;4 y más;Índice sobre la media del gmp;2010;75,11
05 Canarias;4 y más;Índice sobre la media del gmp;2009;75,56
05 Canarias;4 y más;Índice sobre la media del gmp;2008;78,91
05 Canarias;4 y más;Índice sobre la media del gmp;2007;81,24
05 Canarias;4 y más;Índice sobre la media del gmp;2006;83,70
06 Cantabria;Total;Gasto total;2019;7.120.576,17
06 Cantabria;Total;Gasto total;2018;7.237.241,58
06 Cantabria;Total;Gasto total;2017;7.200.738,00
06 Cantabria;Total;Gasto total;2016;6.625.297,40
06 Cantabria;Total;Gasto total;2015;6.724.795,41
06 Cantabria;Total;Gasto total;2014;6.461.938,12
06 Cantabria;Total;Gasto total;2013;6.461.063,96
06 Cantabria;Total;Gasto total;2012;6.851.513,85
06 Cantabria;Total;Gasto total;2011;6.931.223,12
06 Cantabria;Total;Gasto total;2010;6.978.764,99
06 Cantabria;Total;Gasto total;2009;7.031.352,52
06 Cantabria;Total;Gasto total;2008;6.768.499,11
06 Cantabria;Total;Gasto total;2007;6.686.957,26
06 Cantabria;Total;Gasto total;2006;5.986.317,28
06 Cantabria;Total;Distribución porcentual;2019;100,00
06 Cantabria;Total;Distribución porcentual;2018;100,00
06 Cantabria;Total;Distribución porcentual;2017;100,00
06 Cantabria;Total;Distribución porcentual;2016;100,00
06 Cantabria;Total;Distribución porcentual;2015;100,00
06 Cantabria;Total;Distribución porcentual;2014;100,00
06 Cantabria;Total;Distribución porcentual;2013;100,00
06 Cantabria;Total;Distribución porcentual;2012;100,00
06 Cantabria;Total;Distribución porcentual;2011;100,00
06 Cantabria;Total;Distribución porcentual;2010;100,00
06 Cantabria;Total;Distribución porcentual;2009;100,00
06 Cantabria;Total;Distribución porcentual;2008;100,00
06 Cantabria;Total;Distribución porcentual;2007;100,00
06 Cantabria;Total;Distribución porcentual;2006;100,00
06 Cantabria;Total;Gasto medio por hogar;2019;29.520,52
06 Cantabria;Total;Gasto medio por hogar;2018;30.071,44
06 Cantabria;Total;Gasto medio por hogar;2017;29.945,34
06 Cantabria;Total;Gasto medio por hogar;2016;27.549,85
06 Cantabria;Total;Gasto medio por hogar;2015;27.973,91
06 Cantabria;Total;Gasto medio por hogar;2014;26.981,59
06 Cantabria;Total;Gasto medio por hogar;2013;27.162,99
06 Cantabria;Total;Gasto medio por hogar;2012;28.971,69
06 Cantabria;Total;Gasto medio por hogar;2011;29.616,25
06 Cantabria;Total;Gasto medio por hogar;2010;30.353,54
06 Cantabria;Total;Gasto medio por hogar;2009;31.188,77
06 Cantabria;Total;Gasto medio por hogar;2008;30.751,33
06 Cantabria;Total;Gasto medio por hogar;2007;31.254,69
06 Cantabria;Total;Gasto medio por hogar;2006;28.807,59
06 Cantabria;Total;Gasto medio por persona;2019;12.387,41
06 Cantabria;Total;Gasto medio por persona;2018;12.577,81
06 Cantabria;Total;Gasto medio por persona;2017;12.512,32
06 Cantabria;Total;Gasto medio por persona;2016;11.497,35
06 Cantabria;Total;Gasto medio por persona;2015;11.627,59
06 Cantabria;Total;Gasto medio por persona;2014;11.130,77
06 Cantabria;Total;Gasto medio por persona;2013;11.085,70
06 Cantabria;Total;Gasto medio por persona;2012;11.704,34
06 Cantabria;Total;Gasto medio por persona;2011;11.829,30
06 Cantabria;Total;Gasto medio por persona;2010;11.948,42
06 Cantabria;Total;Gasto medio por persona;2009;12.096,99
06 Cantabria;Total;Gasto medio por persona;2008;11.756,93
06 Cantabria;Total;Gasto medio por persona;2007;11.782,69
06 Cantabria;Total;Gasto medio por persona;2006;10.703,69
06 Cantabria;Total;Gasto medio por unidad de consumo;2019;18.040,38
06 Cantabria;Total;Gasto medio por unidad de consumo;2018;18.365,46
06 Cantabria;Total;Gasto medio por unidad de consumo;2017;18.271,10
06 Cantabria;Total;Gasto medio por unidad de consumo;2016;16.814,97
06 Cantabria;Total;Gasto medio por unidad de consumo;2015;17.029,23
06 Cantabria;Total;Gasto medio por unidad de consumo;2014;16.320,96
06 Cantabria;Total;Gasto medio por unidad de consumo;2013;16.307,61
06 Cantabria;Total;Gasto medio por unidad de consumo;2012;17.287,26
06 Cantabria;Total;Gasto medio por unidad de consumo;2011;17.530,70
06 Cantabria;Total;Gasto medio por unidad de consumo;2010;17.771,28
06 Cantabria;Total;Gasto medio por unidad de consumo;2009;18.048,77
06 Cantabria;Total;Gasto medio por unidad de consumo;2008;17.598,49
06 Cantabria;Total;Gasto medio por unidad de consumo;2007;17.705,75
06 Cantabria;Total;Gasto medio por unidad de consumo;2006;16.120,49
06 Cantabria;Total;Índice sobre la media del gmp;2019;100,00
06 Cantabria;Total;Índice sobre la media del gmp;2018;100,00
06 Cantabria;Total;Índice sobre la media del gmp;2017;100,00
06 Cantabria;Total;Índice sobre la media del gmp;2016;100,00
06 Cantabria;Total;Índice sobre la media del gmp;2015;100,00
06 Cantabria;Total;Índice sobre la media del gmp;2014;100,00
